"nombre","marca","categoria","precio","descripcion","talles","colores","stock","tags","destacado","imagenes"
"47 Street Azul","47 Street","","","","","","","","no","img001.jpg;img002.jpg"
"47 Street Black","47 Street","","","","","","","","no","img003.jpg;img004.jpg"
"Adidas Adi2000","Adidas","","","","","","","","no","img005.jpg;img006.jpg"
"Adidas Campus Gris","Adidas","","","","","","","","no","img007.jpg;img008.jpg"
"Adidas Campus Rojo","Adidas","","","","","","","","no","img009.jpg;img010.jpg"
"Adidas Campus Verde","Adidas","","","","","","","","no","img011.jpg;img012.jpg"
"Botines Adidas Pure Blanco","Adidas","","","","","","","","no","img013.jpg;img014.jpg"
"Botines Nike Total 90","Nike","","","","","","","","no","img015.jpg;img016.jpg"
"Jordan 1 Dark Mocha","Jordan","","","","","","","","no","img017.jpg;img018.jpg"
"Jordan Retro 4 Royalty","Jordan","","","","","","","","no","img019.jpg;img020.jpg"
"Louis Vuitton Eclipse","Louis Vuitton","","","","","","","","no","img021.jpg;img022.jpg"
"Louis Vuitton Time Out","Louis Vuitton","","","","","","","","no","img023.jpg;img024.jpg"
"New Balance Trico","New Balance","","","","","","","","no","img025.jpg;img026.jpg"
"Nike Air Botita Beige","Nike","","","","","","","","no","img027.jpg;img028.jpg"
"Nike Air Force 1 Luxe","Nike","","","","","","","","no","img029.jpg;img030.jpg"
"Nike Air Force 1 Mid Blancas Botitas","Nike","","","","","","","","no","img031.jpg;img032.jpg"
"Nike Air Force 1","Nike","","","","","","","","no","img033.jpg;img034.jpg"
"Nike Air Force White","Nike","","","","","","","","no","img035.jpg;img036.jpg"
"Nike Air Force 1 Low Travis","Nike","","","","","","","","no","img037.jpg;img038.jpg"
"Nike Air Max Dn Gris","Nike","","","","","","","","no","img039.jpg;img040.jpg"
"Nike Air Max Dn Azul","Nike","","","","","","","","no","img041.jpg;img042.jpg"
"Nike Air Max Dn8 Hyper Rosa","Nike","","","","","","","","no","img043.jpg;img044.jpg"
"Nike Air Max Furyosas","Nike","","","","","","","","no","img045.jpg;img046.jpg"
"Nike Air Max Scorpion Blanco","Nike","","","","","","","","no","img047.jpg;img048.jpg"
"Nike Air Max Scorpion Gris","Nike","","","","","","","","no","img049.jpg;img050.jpg"
